EventID,Detector,ParticleName,Energy
15,Detector1,pi+,0.636714
15,Detector1,pi-,1.82348
15,Detector1,pi+,0.191572
15,Detector1,pi+,0.245467
15,Detector1,pi0,0.260743
15,Detector1,pi-,0.142019
15,Detector1,pi+,0.541868
15,Detector2,pi-,1.81972
15,Detector2,pi+,0.240201
15,Detector2,pi-,0.136941
15,Detector2,pi+,0.537354
15,Detector3,pi+,0.219415
15,Detector3,mu-,0.0752245
15,Detector3,mu-,0.0748094
15,Detector3,pi+,0.52312
15,Detector3,pi+,0.521855
66,Detector1,pi0,0.196963
66,Detector1,pi+,0.653713
66,Detector1,pi+,0.653662
66,Detector1,pi-,0.281118
66,Detector1,pi+,0.394747
66,Detector1,pi0,3.41161
66,Detector2,pi-,0.277773
66,Detector2,pi-,0.274626
66,Detector2,pi-,0.274617
66,Detector2,pi+,0.390752
66,Detector3,pi-,0.268196
66,Detector3,pi+,0.383168
66,Detector3,pi+,0.381172
7,Detector1,pi-,1.20723
7,Detector1,pi0,0.714233
7,Detector1,pi+,0.678691
7,Detector1,pi+,0.397923
7,Detector1,pi+,0.397795
7,Detector2,pi-,1.20384
7,Detector2,pi+,0.67665
7,Detector2,pi+,0.674427
7,Detector3,pi+,0.657354
96,Detector1,pi0,0.356677
96,Detector1,pi-,1.02392
96,Detector1,pi-,0.626291
96,Detector2,mu+,0.093893
96,Detector2,mu+,0.090551
96,Detector2,mu+,0.0855669
96,Detector2,pi-,0
96,Detector2,pi-,0.0523796
96,Detector2,pi-,0.050782
96,Detector2,pi-,0.0494139
96,Detector2,pi-,0.0449287
96,Detector2,pi-,0.622703
96,Detector3,mu+,0.0500722
96,Detector3,mu+,0.0466381
96,Detector3,pi-,0.0282522
96,Detector3,pi-,0.0247593
96,Detector3,pi-,0.0219395
96,Detector3,pi-,0.019888
96,Detector3,pi-,0.617691
84,Detector1,pi+,0.372023
84,Detector1,pi+,0.371772
84,Detector1,pi0,0.508186
84,Detector1,pi-,0.362292
84,Detector1,pi+,0.0299041
84,Detector1,pi+,0.0296909
84,Detector1,pi-,0.443726
84,Detector1,pi+,0.144461
84,Detector1,pi-,0.730067
84,Detector1,pi0,0.0893191
84,Detector1,pi0,1.34975
84,Detector1,pi0,0.66748
84,Detector1,pi+,0.197346
84,Detector1,pi0,0.389846
84,Detector2,pi+,0.36814
84,Detector2,pi-,0.357359
84,Detector2,pi+,0.0250018
84,Detector2,pi+,0.0220705
84,Detector2,pi+,0.0191219
84,Detector2,pi+,0.0190494
84,Detector2,pi-,0.44016
84,Detector2,pi+,0.139849
84,Detector2,pi-,0.725739
84,Detector2,pi-,0.724718
84,Detector2,pi+,0.195796
84,Detector2,pi+,0.193066
84,Detector3,mu+,0.204941
84,Detector3,pi-,0.341175
84,Detector3,pi-,0.339877
84,Detector3,mu+,0.00478525
84,Detector3,mu+,0.00378104
84,Detector3,mu+,0.00274337
84,Detector3,mu+,0.0018312
84,Detector3,mu+,0.000685897
84,Detector3,mu+,3.43357e-05
84,Detector3,mu+,0
84,Detector3,mu+,0
84,Detector3,pi-,0.436207
84,Detector3,pi-,0.435324
84,Detector3,pi+,0.13367
84,Detector3,pi+,0.132825
84,Detector3,pi-,0.718793
84,Detector3,pi+,0.186633
84,Detector3,pi+,0.183232
95,Detector1,pi+,0.733873
95,Detector1,pi0,0.0476385
95,Detector1,pi-,0.907128
95,Detector1,pi0,0.960568
95,Detector1,pi-,0.263612
95,Detector1,pi+,1.75324
95,Detector1,pi+,1.75262
95,Detector1,pi-,0.176204
95,Detector1,pi0,0.0523053
95,Detector2,pi+,0.730143
95,Detector2,pi-,0.256312
95,Detector2,pi+,1.5919
95,Detector2,pi+,1.58925
95,Detector2,pi-,0.172096
95,Detector3,pi+,0.709936
95,Detector3,pi+,0.708562
95,Detector3,pi-,0.222415
95,Detector3,pi-,0.221228
95,Detector3,pi-,0.219802
95,Detector3,pi+,1.58558
95,Detector3,pi+,1.58342
95,Detector3,pi+,1.5817
61,Detector2,pi-,0.52153
61,Detector2,pi-,0.521424
61,Detector2,pi-,0.315744
61,Detector2,pi+,0.245094
61,Detector2,pi+,0.244506
61,Detector3,pi-,0.516765
61,Detector3,pi-,0.311179
61,Detector3,pi+,0.235486
61,Detector3,pi+,0.23397
48,Detector1,pi0,1.33651
65,Detector1,pi0,0.214062
65,Detector1,pi-,0.583128
65,Detector1,pi+,0.445459
65,Detector1,pi+,0.442776
65,Detector1,pi0,0.467381
65,Detector1,pi+,0
65,Detector1,pi0,0.693474
65,Detector1,pi+,0.766527
65,Detector1,pi0,0.394144
65,Detector2,pi-,0.579286
65,Detector2,pi+,0.439307
65,Detector2,pi+,0.763159
65,Detector3,pi-,0.569307
65,Detector3,pi+,0.435677
65,Detector3,pi+,0.760412
65,Detector3,pi+,0.758593
